allMonth
Fecha,Gasto,Moneda
2018-08-01,0.7108341275,USD
2018-08-02,0.3705501841,USD
2018-08-03,0.1677762912,USD
2018-08-04,0.0339885635,USD
2018-08-05,0.0339885635,USD
2018-08-06,0.0344555637,USD
2018-08-07,0.0441099547,USD
2018-08-08,0.0490599547,USD
2018-08-09,0.0530749547,USD
2018-08-10,0.0442373547,USD
2018-08-11,0.0339899547,USD
2018-08-12,0.0339899547,USD
2018-08-13,0.0580776791,USD
2018-08-14,0.0495368881,USD
2018-08-15,0.0340618881,USD
2018-08-16,0.0598568881,USD
2018-08-17,0.0495568881,USD
2018-08-18,0.0340368881,USD
2018-08-19,0.0505622881,USD
2018-08-20,0.0601176543,USD
2018-08-21,0.1433596698,USD
2018-08-22,0.0574572436,USD
2018-08-23,0.0629023338,USD
2018-08-24,0.0574516315,USD
2018-08-25,0.0353164363,USD

ec2
Fecha,Gasto,Moneda
2018-08-01,0.7108341275,USD
2018-08-02,0.3705501841,USD
2018-08-03,0.1677762912,USD
2018-08-04,0.0339885635,USD
2018-08-05,0.0339885635,USD
2018-08-06,0.0344555637,USD
2018-08-07,0.0441099547,USD
2018-08-08,0.0490599547,USD
2018-08-09,0.0530749547,USD
2018-08-10,0.0442373547,USD
2018-08-11,0.0339899547,USD
2018-08-12,0.0339899547,USD
2018-08-13,0.0580776791,USD
2018-08-14,0.0495368881,USD
2018-08-15,0.0340618881,USD
2018-08-16,0.0598568881,USD
2018-08-17,0.0495568881,USD
2018-08-18,0.0340368881,USD
2018-08-19,0.0505622881,USD
2018-08-20,0.0601176543,USD
2018-08-21,0.1433596698,USD
2018-08-22,0.0574572436,USD
2018-08-23,0.0629023338,USD
2018-08-24,0.0574516315,USD
2018-08-25,0.0353164363,USD
